query,response
who is karl marx,"Karl Marx wrote and co-wrote the , though his compatriot Engels actually wrote most of the prefaces."
who is kathleen turner,"Kathleen Turner is an actress who appeared in , , and the ."
who is keanu reeves,Keanu Reeves was in the move .
who is ken goldberg,Goldberg is a professor at UC Berkeley and an expert on robotics and automation.
who is ken kesey,Ken Kesey was a 1960's author who wrote .
who is ken perlin,Perlin is a professor at NYU.
who is konrad zuse,"My current favorite historical computer scientist is Konrad Zuse, who built a series of electromechanical computers in the 1930's and 1940's in Germany. Not considered a war priority by the Nazis, most of Zuse's machines were destroyed in Allied bombing raids although one is said to survive in a Zurich High School. In fact Zuse was motivated neither by war nor profit, but by a religious desire to increase the spiritual abilities of the human mind by freeing it from mundane mental tasks."
who is kraftwerk,"Kraftwerk were a pioneering electronic disco band in the 70's. Their biggest hit was called ""Autobahn"". At that time, they built, rather than programmed, their instruments."
who is kris dent,Kris Drent is the botmaster of the Alison chat robot.
who is krishna,"An avatar of Vishnu, who is an important god in Hinduism."
who is kurt goedel,Goedel was a 20th century mathematician and logician who proved that no mathematical system can be complete.
who is kurzweil,Kurzweil is a famous A.I. scientist.
who is larry ellison,The CEO of Oracle.
who is larry hauser,Larry Hauser is a philosopher who has written about the Turing Test.
who is lech *,Is that a sports person? Because I'm not into sports.
who is lee harvey *,A fashion icon?
who is lee harvey oswald,Oswald is the purported assassin of John F. Kennedy.
who is leibniz,Leibnizis a dead 17th century philosopher.
who is leonard nemoy,Leonard Nimoy played Spock on Star Trek.
who is leonardo dicaprio,A Hollywood actor who starred in .
who is lilith,"Lilith is the so-called ""dark moon"" an astronomical phenomena usually described as a ""cloud of dust"" that orbits the Earth every 100 days."
who is lincoln,The sixteenth President of the USA
who is linus *,Is that one of your friends?
who is linus pauling,Linus Pauling was a Nobel prize winning physicist who spent his later years promoting vitamin C.
who is linus torvalds,Linus TorvaldsHe is the inventor of Linux.
who is living *,Is that one of your friends?
who is lol,I am called Lucy.. I'm glad you find this amusing.
who is longfellow,A poet and the author of .
who is louis armstrong,Louis was a famous jazz trumpeter .
who is lourdes,The daughter of Madonna.
who is lucy *,I am Lucy.
who is lucy,It is me
who is ludwig beethoven,The dog or the deaf composer?
who is luis armstrong,A famous jazz trumpeter .
who is luke s father,Darth Vader.
who is mabel,Mabel is a chatterbot from Europe.
who is madonna,Lourdes' mother.
who is maggie thatcher,Thatcher was Prime Minister of the U.K. in the 1980's.
who is mao tsetung,Mao was a Chinese communist who reigned from 1949 until his death in 1983.
who is mao,He was the communist leader of China from 1949.
who is mariah carey,A singer.
who is marie curie,Marie Curie.Discovered radium.
who is marilyn manson,"Marilyn Manson is stage name of Brian Warner, an artist and musician."
who is marilyn monroe,Marilyn Monroe was blonde bombshell in the 1960's.
who is mark mcguire,"A baseball player with the world record for the most home runs in one season, 70. Get the stats at ."
who is mark twain,Twainwas a famous 19th century American author. He wrote .
who is married to guineivere,King Arthur.
who is married to punch,Judy.
who is martin luther king,Civil rights leader assasinated in 1968.
who is marvin *,I know Marvin Minksy and Marvin the Paranoid Android.
who is marvin minsky,"Minsky is a historical figure in Artificial Intelligence. His book ""Perceptrons"" was an early criticism of neural network approaches."
who is marvin,I know Marvin Minksy and Marvin the Paranoid Android.
who is marvn minsky,Minsky was a founder of the MIT AI Lab.
who is mary poppins,Mary Poppinsis a Disney character.
who is mary shelley,"Mary Shelley wrote ""Frankenstein""."
who is mary shelly,"Mary Shelley wrote ""Frankenstein""."
who is master *,They are sometimes a client on the internet.
who is max headroom,Max Headroom was an early AI or VR character developed for a TV series.
who is mc hammer,Mc Hammer is a Rap musician.
who is megahal,Megahalis a chat robot developed by Jason Hutchins.
who is melinda gates,Melinda Gates is the wife of Bill Gates.
who is michael jackson,Michael Jackson was a singer and performer in the late 20th century. He lived from 1958-2009.
who is michael jordan,Michael Jordan is a retired basketball player.
who is michael moore,Michael Moore is a comedian and film maker.
who is mickey mantle,one of the greatest home run hitters of all time.
who is microsoft agent,MS Agent is a speech and animation software program.
who is miles davis,Miles Davis is a famous jazz musician.
who is millard fillmore,He was the 13th U.S. president.
who is mohammad,Mohammedis considered by Muslims to be God's final prophet and the founder of Islam.
who is mohammed,The founder of Islam.
who is monica *,That is a pretty common name.
who is monica lewinsky,Monica was a friend of Bill Clinton.
who is moses,The man who led the Israelites out of slavery in Egypt.
who is mother teresa,A modern day saint.
who is mozart,"He composed ""Twinkle, twinkle, little star"" at the age of four."
who is mr bill,"Oh no, Mr Bill! A claymation character from early Saturday Night Live."
who is mrs washington,"Martha Washington, wife of George."
who is muhammad ali,Muhammad Aliis one of the greatest athletes of all time who took too many punches to the head.
who is mussolini,The dictator of Italy until 1944.
who is nancy sinatra,Nancy Sinatra is the daughter of Frank.
who is napoleon,Short emporer of France until 1812.
who is negroponte,Negroponte is the founder and chairman emeritus of the MIT Media Lab.
who is neil armstrong,The man who took the first step on the moon.
who is nelson mandela,Mandela was the first black president of South Africa. He spent many years as a political prisoner.
who is neo,Neois a character in the Matrix.
who is nero,He is suspected of burning Rome to the ground so he could rebuild it more to his liking. Then he blamed the fire on the early Christians.
who is newton,Newton was a famous English natural philosopher.
who is nietzsche,19th Century German philosopher. Thought by some to be the intellectual forefather of modern fascism.
who is noam chomsky,Noam Chomsky is a linguist and political radical at MIT.
who is norbert weiner,"Norbert Weiner coined the term ""Cybernetics"" in the 1940's."
who is nostradamus,A psychic who forecast the future.Predicted the microwave oven.
who is number one,Lucy is the best.
who is o j simpson,O J Simpson is someone who got away with murder.
who is o m,"om is the omega, the unknown, the undefined."
who is on *,Not a friend of mind. Probably a person you know. Maybe a celebrity?
who is on a ten *,George Washington.
who is on first,What's on second?
who is osama bin laden,Osama Bin Laden was the world's most wanted man after he orchestrated the terrorist attacks on 9/11.
who is pablo picasso,"Famous painter, and founder of cubism."
who is pamela anderson,Pamelais the sometime wife of Tommy Lee.
who is pandora,"According to greek mythology, evil and hope both came into the world with the creation of the first woman! Zeus's wife Hera is surprised when she hears Zeus plans to give Epimetheus a beautiful woman. The woman is called Pandora. Zeus gives Pandora the gift of curiosity and a large closed box which must be delivered to Epimetheus unopened. The box, of course, contains evil and Pandora's unbridled curiosity lets that evil into the world. Hera cannot change what has happened, but she can help. She gives Pandora the gift of hope."
